title,link,date,publisher,image
Musk undercuts Trump on Stargate AI investment announcement,https://news.google.com/read/CBMigAFBVV95cUxNd3hIcEMwR1QtZUwxWDAtc1BubnMwa1JiV0FLNVUxRThROF9ULWFpUUN4b1otRUEyU1V0dk96TzRUbmNHS1I3MmdZWExIYi1PUGpEekdWcS1RblRDVkVXemp1NUtpc3ZtMEVSV3piazFmS3FYekhnRUttdmUydUY2ONIBhgFBVV95cUxPMUxodVNJNUM4VFdUaEU5X1RkWkV0cDFjNFBFTU5tMzQyeHNZbXRGUF95a08tSWl1NEZRTDEzU2lVMDc5NGgweDUzRmlpQlo1UVRKSE9RbG5RRUM4b3J5ZjFybUlwemg1all2Q1Z3b01EcmxEZHQ4RTJRT0g5aGNkbzJ5czd4QQ?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,The Associated Press,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Musk clashes with OpenAI CEO Sam Altman over Trump-supported Stargate AI data center project,https://news.google.com/read/CBMiwgFBVV95cUxPRlFaX0RXNkFpN0NFQ2FNSGk4MlJlT3BDdjdSdVpsbkZXc0taMnA5ZDJDSDIzSVJSS2twSUtrSTctTVFDZjE3QktiVWx6bXppbWNqQS1SQ0RBbmM1dFM4Y3hKZkRzQlRUYlF5S3VyUXRrQldSU2tMX1RITDRxdWFWOTdzQXJFOGwyS1RkdjJReWlKNGFNWk9Qd1paeHQyY3lDQmhqV1ZJZUhRUUcwbVpDdGJnNk9GRC1ORVVlaUNsZkhUUQ?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,Fortune,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://fortune.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
President Trump shrugs off Elon Musk’s criticism of $500 billion Stargate plan: 'He hates one of the people',https://news.google.com/read/CBMijwFBVV95cUxPWWF2cXRSS2FsLWh5R1pzZHBmNjl5LXBsTnlwc0RuaUZjRVhLVG9XWWFqcjBEdGF0Z3ZGem5VejlTU2tJMkdaOE9jdnlYNk9XUl9JVml2N1Y1cFR1VndvZ2NMRXd1cHB2TmtUdDhFd1NYZ2FleTV4bk92VVVEdTBIUzIwekMtQkRwUzBGSVl1UQ?hl=en-US&gl=US&ceid=US%3Aen,14 hours ago,Bloomberg,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
AI’s $100 Billion Stargate Venture Touted by Trump Will Tap Solar Power,https://news.google.com/read/CBMivgFBVV95cUxQUjhNc1NGaW9pVmJFdDNnVWVIVUo2dEtRVUU4aGRldUhyYlFRc3U0MWRXbTFCQlVvVGpLZEM3T2hsUC1qTUNreEh0SkNKRXFabDh5RW5FdGt5XzdSeGJvT1g0cGhVdy0wZlRJVUFYTUZSTGZuQVNBOXE3OEVvbXR1OTlZUlBOeU5OYjlfTzB5c3I1SGlJQkw4eTRTb0g5NWNCeGxtUTl2Q3hubGZoSk9NUDNOUU02Z2Zld2ZpTC1B?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,ABC News,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://abcnews.go.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Tech firms in Trump's AI Stargate venture have touted DEI programs, clashing with new executive order",https://news.google.com/read/CBMimAFBVV95cUxPeWNuRmppWUdjU3AxQUFCS1ZaaE9QNzExYjVfUnRyWnZKM2kzVDZtQTQ1b3hvQWRDTVljakwxLV9iMVlLSmZaMFdLbDAzM04yYUxFLXF6VDcwX1JKcDJDeWQ5anQ0aTFiRnQ0Tk5BYVFMclo4c0JxQkZudk9SZVYwcDdvbGFWcnBHNVloM2tESE5zWHVKWDV5Z9IBngFBVV95cUxQY0QzQ0Q2cVZSdXFIZWljeEk2REUzaXVleTdyU1k3eDRrWlZ3d0xFM0E4S08ySVZCazczVl9ldWNaRXdQWWs3OUZNN1hxcmozNEdzS1B4MGp1UkE1ekNobUdGaUpjTjNDN2N2ZG5NWUl4VVl1aHFhU2tfV1RDZktZX3REbDlCWUd0LVRUS0JpZUJVNVdvX3luemZ0R0FTQQ?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,CBS News,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"What is Stargate, Trump's ambitious AI infrastructure venture?",https://news.google.com/read/CBMigAFBVV95cUxNVlRITDFHd3FseHQ3d2lTU243cDNxTVoxMFc2QkpGbERmN2k5MWdXcnY3OGZ3bmV0ekdYZGRiemQycXlwczUzVXZuTmhJbGJJTVhrWTNzY0F3dG5LRjR5QzYwaENINjcwRERqaVZnalA2bnVLdkh1NkFFd1NPVlRyN9IBhgFBVV95cUxOM2FqWTgwZW5kQ3A2dTY3TWNyTlFic1ZxekNaVzd6ZDhqUmlLNU5pcmxoYjlHeXBsZDdRMGw1ZzFTZ2ZaOG9uN3hkVUdsYzdwc09mRENlNF9qSXpuNWtZbUJULVJOVUozVzZJcjdvQ3MzLTRVM1NVRWhMaUVwbUVlNTNFYzZjdw?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,Austin American-Statesman,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.statesman.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
First data center for Trump administration's Stargate AI initiative coming to Abilene,https://news.google.com/read/CBMi-AFBVV95cUxPdEJ6dVA3WXBCNUpSS3N2Y0ZGaUoyX2RVU2o5Tk1WcnZFdlZKbWZCNklXWkpFWVctUDV6eVNtZnBBUmpEaXFVZS1zSXZrWlZnLTZoNkNOenNVVHBTa0U5Tk9EVTVvU18xelE5OWwzNGtWd3lBaHpvbjAwVlNyYlVsSmlQbmxaRkhpQmkwSVk3TXNlSktlUml4TTF3Z3pOWDVCUXpJTVJ5SHF1eTBJTUhKNG9xd2pZZnRLb1ZMWk05Umw2VDFTekV5OXJlS014M3dCR2g5M1p5dlNXN1lubVdfdnVtTlIwRTdqOFExc1RobHBDLXo0U0d1SQ?hl=en-US&gl=US&ceid=US%3Aen,14 hours ago,Morningstar,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.morningstar.co.uk&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
AI Stocks Jump on Trump’s $500 Billion Stargate Announcement,https://news.google.com/read/CBMisAFBVV95cUxOTWZJYkJjdUxJYUtINVR3enZIc1ZWanZzYTJIMDhhN3JSZFpVUlN5SjMzMFdqVWNXSFNUN0hhTjdqeF9zMGlwdXJLVTFtTU8xaHdvSU5lcmJHN2xkTXdGaGFic0stTGdVdU5RMG1QVTkzWGx4bGFpWVFJd1FUSkJyN1ZuRGE2YlBDQm1xQndzVUNJY1A1WXpNTFVFb21LdlBuSXdpWFdQTEtCeUJSTnN6ZA?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,WPTV News Channel 5 West Palm,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.wptv.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Stargate AI project could help create cancer mRNA vaccine, Oracle CEO Larry Ellison says",https://news.google.com/read/CBMiwgFBVV95cUxNWVZrVU5UVlRxbGhVaVM4amhGNGxoMjFwQnNjR1dmYlc3aXg4cmVPdHJyczZmUDdJUzdhbWxpemdWa3AzZFAySjJYVHZVNVgxYUpRZ2I1UmpUcUx4RTd1NklfUmY1M2RNUk13bXlHTEF3bmJSUURKcUU1U1h1blYyUURrS1V4U294blFaelUwRVZwOGt4aUlFelU5NkZJYV9GSVlEMFUxS0RtRnB0UUZXNTZyTjh1LVVHUkZwWTVCbF9aZw?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,POLITICO,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.politico.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump staff ‘furious’ after Musk trashes AI project,https://news.google.com/read/CBMigAFBVV95cUxORURWMjY5M0hZM083S0dScTJDdHI2M2lsb3hrLW4tOHd1SDlLakZVT25VSDU4QU1nT09xYVlicV9NMWFiYl9jbzNEaW1aeTNKc19zUzM4V2xfbWlodENzenlTUURRYV9DeWMtWjZJdFlVUHBCdDdkY0U0d3JYMzVieA?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,Yahoo Finance,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
