title,link,date,publisher,image
Large Group & Private Dining Guide,https://news.google.com/read/CBMiZ0FVX3lxTFBHcTExODhlQVNTeWFyNkhkTm1wUkxCNzhiZ3lCdkhILTAzbTdwZDRRb2lDcDFWazMwU1FSV001MkVZbk4wbVlxMkZ5MXBCZGFiZ1VYQzdOYkFVYm04NkJ3cFlQODV5cm8?hl=en-US&gl=US&ceid=US%3Aen,5 days ago,Time Out,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.timeout.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Everything you need to know about Time Out Market Barcelona,https://news.google.com/read/CBMiZEFVX3lxTE5qTmQxMlVHVUhWZktTdHdnWnBqOEdzZ2ZMazFDd2JVLXJLYnpMVUpBMlVNWWFucU9EZ2plN1E1T0JvcHV1TjdQRkxxbHZkam9BN1huNEwtcXVpclZOaFZTSVlRVTI?hl=en-US&gl=US&ceid=US%3Aen,,Eater SF,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://sf.eater.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Palo Alto Spanish Restaurant Hit With Lawsuit Before It’s Even Open,https://news.google.com/read/CBMimwFBVV95cUxOanpuWHVCUWpVTDJTaV93bUtWMnNwQ3dUUDFtNkV2SVdIYXphOEU3ZklUc2ZGS3hBMXNZQTYtOTBxWnVINlFvaGMyR0ZSN05vNEJrWGl0c3Q5WHRFQ2c2Y0UwRkRXdVhSS1ZseFZkWUpja2drVGtXa2NVUmlPU25EQ1R0LUhNT2s1Y0h2S0w5RVNGX2tQUHBITFBYYw?hl=en-US&gl=US&ceid=US%3Aen,19 days ago,Washingtonian,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.washingtonian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Where to Find Decadent New Year’s Eve Restaurant Dinners, Parties, and Takeout Around DC",https://news.google.com/read/CBMixgFBVV95cUxOTTdKcl95ancwNG5jYkw2WU5VejRFRjZNMWFCdjdiZXlKN3psa2J0ZzdoSEtSQ0FvLXotcF9wLWJzX2JTME1MNXRVVnhlejZMNHRrR0NWOFMzMHZiQUtoMVhjbjIzeGZPeUhMa0htV1BudWxCUV9RbFdPRjJkZWZzNlBSS0N1WFJTUWpvaXhvcnczWXB6cnFBSUVjOThtU0RjbTBfUXlxZGJZMjhrcEZ1UWZHZU40ZXFpV00zd3AyeU1zUzQtTFE?hl=en-US&gl=US&ceid=US%3Aen,,Forbes,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.forbes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
The 10 Hottest Restaurants In Barcelona For Summer 2024,https://news.google.com/read/CBMisAFBVV95cUxNbm5WTkMtTVVURDgxNHVzUS1LQkZUWXFUODJSa21xWVA2TzBaQi1ocHVZTlZFSzQ2Z2w5czVKeE83VXhRUGU4TWRKTXR3UkRzYVRveUFVSVFNTXNveFkwSlBPak4xdTFpc2lpUVV5bk1ObnVLWnJKczFqMWMzNkZGQmdaMnotX0pNSGtRLWZVeFU1M2VONUZlbUpYaW1xWkRGYTE2WjZYX1d1VUM3cWJlRw?hl=en-US&gl=US&ceid=US%3Aen,"Apr 27, 2024",La Vanguardia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.lavanguardia.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Tast a la Rambla kicks off in Barcelona: all the essentials for the tenth edition of the festival,https://news.google.com/read/CBMixwFBVV95cUxQUEh6R19IVEhVR1FBVE9zY2xQNVFobTM4OGhzZnNJWC1oM0RUczRueUhpSGNPQ184aG1yQjhDWFNyRm8ydTV4ZnJaajdJcUhJa1lub0w0OGdtVkExWFg0LUZvRld1SFI3UU9sWHA5ZHZ0LUt4UE8tR2JFa2JCQlNEYzJUQUMzRzIxbzJteXZDRXNmd3RpS1JDUklZdGc3aldFaENYRVpaRlB5UGVWUk1yenM5NUFRbVdmM1FWaHpKb0xwQmc4OWdJ0gHMAUFVX3lxTE96dkRtOVcwRzBUYm8tSnhPT3hlRXh5bU9ldWtCcm9TdnF4THREWDZBVWl3TnVzdTBlcG03UVlJbnJXTXp3VElQZUFrbEp2SkRXOUhIdGFtbkwxMXJtcXQyS1hlRl9zb1o0cXlSa29UbmZjRHVpV0Q4ZldmeU83eWYwNW00VVNVNVJzeEhiZHhzUWZRdDhxS29VWmFFY284TFFMOFplX3M5amFVOVdydnl6bVRUdFB1c21ZRmZGN0ZZZ09odHF2UGVFekFJbw?hl=en-US&gl=US&ceid=US%3Aen,"Jun 7, 2024",Time Out,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.timeout.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Bubó is bringing the sweet treats to Time Out Market Barcelona,https://news.google.com/read/CBMidEFVX3lxTFA4MXZHa3J1dFpOblpJb3ZmS2tyOW9YTjhoSGNlTHVUdlpvTVZSTG1VZml0UDF4TnV5MUx6ZDh3dUNpRVI3ejlWNThCU0VWMlU1NkZfa1VDTFJrSWMtZ2dlRzAxOE5jRWx2MHF5VGxJVC1pSDI5?hl=en-US&gl=US&ceid=US%3Aen,,Forbes,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.forbes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
The 2024 America’s Cup In Barcelona: Everything You Need To Know,https://news.google.com/read/CBMiugFBVV95cUxPNHA0SEhtWUJLdDhwRktQQ0J3VDlCdXctemdXeFQwUTR1TUZiX2NHWGRiNGtWVTVYQlJTanVxQ3B5R3NYLW1zQzNndC1tTTN4SEFUcjJpY0g3SXVvdjZ4aXdvMUwwR0VzMUpZaG1MUmtYel9XYU1taEhpSGVqUUxhZHZiSzRPU1N5cmNyamM5Tmx4bV9pdlc5OWFjdjczM3BEQTVyaFFnSE91Z013bXFmU193Z3JuTk5zSEE?hl=en-US&gl=US&ceid=US%3Aen,,The Columbus Dispatch,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.dispatch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
25 years in German Village: Barcelona hosting anniversary events,https://news.google.com/read/CBMinAFBVV95cUxOdnZIZVZReFFZSENDY0o0WHZPY1VLRC1qOUVTU256TllWNWJwNWpaOXR0MFJScjJ6a2UyRHAtN0tvZndob3JvNjU2NFliSXZzVDVYZWEtRTNDbWtaM19qRDg5SHdaOFp0ZjJVZm5VbU5DMUlzX3Bwc25RdnFsZWJPdU8xYjh2M1BLM2pibGR3R3VMNWVLcjczZ3lvNUg?hl=en-US&gl=US&ceid=US%3Aen,"Oct 11, 2021",Time Out,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.timeout.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Lena Maria Grané and Ricky Smith at Time Out Market Barcelona,https://news.google.com/read/CBMimgFBVV95cUxOeUxTaUJLbm4wTmZnSUZIWW5PdjJ4SXdWT183R2MwRWc4UlJleFZRbmwzOE0tZXcwY2h0VFkyXzJNMmxpOG4xb2Nxd3BSbllEV1hKdDNzLV9HYkNOb1VGZ0l1d0JmaXM4eHFlTk9CRzdaZXQtNXpvejUzVDNJVU9pLVMzSWlSVXV5N05Pc1hDRjMySlVNOENYTHNR?hl=en-US&gl=US&ceid=US%3Aen,,Time Out,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.timeout.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
